Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Customer_Tenure,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Average_Spending_Per_Purchase,Digital_Engagement,Deal_Dependency,Customer_Activity_Level,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Preferred_Shopping_Channel_Store,Preferred_Shopping_Channel_Web,Product_Preference_Fruit,Product_Preference_Gold,Product_Preference_Meat,Product_Preference_Sweet,Product_Preference_Wine
1957,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,69,14,0,1,1617,25,1,64.68,15,0.12,32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1954,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,72,12,2,3,27,6,0,4.5,6,0.3333333333333333,11,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1965,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,61,13,0,2,776,21,0,36.95238095238095,12,0.047619047619047616,25,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1984,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,42,12,1,3,53,8,0,6.625,8,0.25,14,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
1981,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,45,12,1,3,422,19,0,22.210526315789473,10,0.2631578947368421,24,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1967,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,59,13,1,3,716,22,0,32.54545454545455,12,0.09090909090909091,28,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1971,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,55,14,1,2,590,21,0,28.095238095238095,13,0.19047619047619047,27,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1985,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,41,13,1,3,169,10,0,16.9,12,0.2,18,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1974,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,52,13,1,3,46,6,1,7.666666666666667,12,0.16666666666666666,15,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
1950,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,76,12,2,4,49,2,1,24.5,21,0.5,22,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1983,,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,43,13,1,3,19,4,0,4.75,8,0.25,11,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1976,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,50,14,0,2,61,6,0,10.166666666666666,10,0.16666666666666666,14,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1959,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,67,13,0,1,1102,16,0,68.875,5,0.0625,18,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1952,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,74,13,2,3,310,15,0,20.666666666666668,12,0.2,21,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
