Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Customer_Tenure,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Campaign_Acceptance,Average_Spending_Per_Purchase,Digital_Engagement,Deal_Dependency,Customer_Activity_Level,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Preferred_Shopping_Channel_Store,Preferred_Shopping_Channel_Web,Product_Preference_Fruit,Product_Preference_Gold,Product_Preference_Meat,Product_Preference_Sweet,Product_Preference_Wine
1957,58138.0,0,0,58,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,1.3862943611198906,2.1972245773362196,2.3978952727983707,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,69,14,0,1,1617,25,0.6931471805599453,4.184794465144173,15,0.12,32,0.0,1,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1
1954,46344.0,1,1,38,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,1.9459101490553132,1.0986122886681098,0.6931471805599453,0.6931471805599453,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,12,2,3,27,6,0.0,1.7047480922384253,6,0.3333333333333333,11,0.0,1,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1965,71613.0,0,0,26,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,0.6931471805599453,2.1972245773362196,1.0986122886681098,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,13,0,2,776,21,0.0,3.6363322410667918,12,0.047619047619047616,25,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1984,26646.0,1,0,26,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,1.0986122886681098,1.0986122886681098,0.0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,12,1,3,53,8,0.0,2.031432322493475,8,0.25,14,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0.0,0
1981,58293.0,1,0,94,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,1.791759469228055,1.791759469228055,1.3862943611198906,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,12,1,3,422,19,0.0,3.1446058962804053,10,0.2631578947368421,24,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1967,62513.0,0,1,16,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,1.0986122886681098,1.9459101490553132,1.6094379124341003,10,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,13,1,3,716,22,0.0,3.512901371242157,12,0.09090909090909091,28,0.0,0,0.6931471805599453,0.0,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1971,55635.0,0,1,34,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,1.6094379124341003,2.0794415416798357,1.3862943611198906,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,14,1,2,590,21,0.0,3.370574521448172,13,0.19047619047619047,27,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,1
1985,33454.0,1,0,32,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,1.0986122886681098,1.6094379124341003,0.0,4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,13,1,3,169,10,0.0,2.884800712846709,12,0.2,18,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,1
1974,30351.0,1,0,19,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.0,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,52,13,1,3,46,6,0.6931471805599453,2.1594842493533726,12,0.16666666666666666,15,0.0,0,0.0,0.6931471805599453,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0
1950,5648.0,1,1,68,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.6390573296152584,0.6931471805599453,0.6931471805599453,0.0,0,20,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,76,12,2,4,49,2,0.6931471805599453,3.2386784521643803,21,0.5,22,0.0,0,0.0,0.6931471805599453,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,1
1983,,1,0,11,1.791759469228055,1.791759469228055,1.9459101490553132,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,13,1,3,19,4,0.0,1.749199854809259,8,0.25,11,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0.0,0
1976,7500.0,0,0,59,1.9459101490553132,2.833213344056216,2.4849066497880004,2.4849066497880004,0.6931471805599453,2.833213344056216,0.6931471805599453,1.0986122886681098,0.0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,14,0,2,61,6,0.0,2.412933150162911,10,0.16666666666666666,14,0.6931471805599453,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.6931471805599453,0.0,0.0,0.0,0
1959,63033.0,0,0,82,5.272999558563747,4.127134385045092,6.175867270105761,5.420534999272286,4.727387818712341,3.4339872044851463,0.6931471805599453,1.3862943611198906,1.6094379124341003,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67,13,0,1,1102,16,0.0,4.246707931475263,5,0.0625,18,0.0,1,0.0,0.0,0.0,0.6931471805599453,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0.0,0
1952,59354.0,1,1,53,5.455321115357702,1.0986122886681098,3.9889840465642745,1.3862943611198906,1.791759469228055,2.70805020110221,1.3862943611198906,1.9459101490553132,0.6931471805599453,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,13,2,3,310,15,0.0,3.0757749812275277,12,0.2,21,0.0,0,0.6931471805599453,0.0,0.0,0.6931471805599453,0,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,1
1987,17323.0,0,0,38,1.3862943611198906,2.70805020110221,2.8903717578961645,1.9459101490553132,0.6931471805599453,1.791759469228055,0.6931471805599453,0.6931471805599453,0.0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,14,0,2,46,5,0.0,2.322387720290225,9,0.2,13,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0.0,0
1946,82800.0,0,0,23,6.914730892718563,3.1354942159291497,4.7535901911063645,4.0943445622221,4.23410650459726,3.828641396489095,0.6931471805599453,2.0794415416798357,1.9459101490553132,12,3,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.6931471805599453,80,14,0,1,1315,26,1.3862943611198906,3.9430743452601966,10,0.038461538461538464,29,0.0,0,0.0,0.6931471805599453,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1980,41850.0,1,1,51,3.9889840465642745,1.791759469228055,2.995732273553991,1.0986122886681098,2.6390573296152584,1.6094379124341003,1.3862943611198906,1.3862943611198906,0.0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,14,2,4,96,9,0.0,2.456735772821304,11,0.3333333333333333,17,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,1
1946,37760.0,0,0,20,4.442651256490317,1.791759469228055,3.6635616461296463,5.017279836814924,2.5649493574615367,3.367295829986474,1.0986122886681098,1.6094379124341003,0.6931471805599453,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,14,0,2,317,13,0.0,3.234143296998989,11,0.15384615384615385,20,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0
1949,76995.0,0,1,91,6.920671504248683,4.394449154672439,6.212606095751519,0.0,2.833213344056216,5.176149732573829,1.0986122886681098,2.4849066497880004,1.6094379124341003,9,5,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,77,13,1,3,1782,26,0.6931471805599453,4.24188000293064,16,0.07692307692307693,31,0.0,0,0.6931471805599453,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,1
1985,33812.0,1,0,86,1.6094379124341003,2.8903717578961645,2.995732273553991,3.4339872044851463,3.2188758248682006,3.6888794541139363,1.0986122886681098,1.0986122886681098,0.6931471805599453,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,14,1,2,133,8,0.0,2.8693183486983322,8,0.25,14,0.0,0,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,1,0.0,0.0,0.6931471805599453,0.0,0.0,0
1982,37040.0,0,0,41,4.465908118654584,1.0986122886681098,4.30406509320417,4.248495242049359,3.6635616461296463,3.8918202981106265,0.6931471805599453,1.6094379124341003,1.0986122886681098,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,14,0,2,316,12,0.0,3.3081069585961433,12,0.08333333333333333,20,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1979,2447.0,1,0,42,0.6931471805599453,0.6931471805599453,7.453561871643373,0.6931471805599453,0.6931471805599453,0.6931471805599453,2.772588722239781,0.0,3.367295829986474,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,13,1,3,1730,43,0.0,3.7192281903806452,1,0.3488372093023256,44,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6931471805599453,0.0,0
1949,58607.0,0,1,63,6.7661917146603505,0.0,4.465908118654584,0.0,0.0,2.995732273553991,1.3862943611198906,1.0986122886681098,1.3862943611198906,9,8,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,77,14,1,3,972,17,0.6931471805599453,4.063480987566496,10,0.17647058823529413,25,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1954,65324.0,0,1,0,5.953243334287785,0.0,4.634728988229636,3.091042453358316,3.4965075614664802,1.791759469228055,1.3862943611198906,1.9459101490553132,1.0986122886681098,9,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72,12,1,3,544,20,0.0,3.339321977944068,10,0.15,24,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1951,40689.0,0,1,69,5.602118820879701,1.3862943611198906,3.332204510175204,3.6888794541139363,1.9459101490553132,4.605170185988092,2.0794415416798357,2.0794415416798357,0.6931471805599453,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,13,1,3,444,20,0.0,3.1441522786722644,15,0.35,28,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,1
1969,18589.0,0,0,89,1.9459101490553132,1.6094379124341003,3.258096538021482,2.772588722239781,2.5649493574615367,2.6390573296152584,1.0986122886681098,1.0986122886681098,0.6931471805599453,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,13,0,1,75,8,0.0,2.339399066116762,9,0.25,15,0.0,1,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0.0,0
1976,53359.0,1,1,4,5.159055299214529,1.6094379124341003,3.4339872044851463,1.3862943611198906,1.9459101490553132,3.7376696182833684,1.6094379124341003,1.791759469228055,0.6931471805599453,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,13,2,4,257,14,0.0,2.963061491264442,12,0.2857142857142857,21,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0.0,1
1986,,1,0,19,1.791759469228055,0.6931471805599453,1.3862943611198906,1.3862943611198906,5.575949103146316,5.8944028342648505,0.0,3.332204510175204,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,13,1,2,637,27,0.0,3.202445283472105,28,0.0,28,0.0,1,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0
1989,38360.0,1,0,26,3.6109179126442243,1.0986122886681098,3.7612001156935624,3.044522437723423,3.091042453358316,2.3978952727983707,1.0986122886681098,1.0986122886681098,0.6931471805599453,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,13,1,3,131,9,0.0,2.7444178452730847,5,0.2222222222222222,12,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0.0,0
1965,84618.0,0,0,96,6.529418838262226,4.61512051684126,6.687108607866515,3.091042453358316,4.204692619390966,0.0,0.6931471805599453,1.9459101490553132,2.302585092994046,10,2,0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,61,13,0,2,1672,26,0.6931471805599453,4.1791098288498105,8,0.038461538461538464,28,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.6931471805599453,0.0,0
1989,10979.0,0,0,34,2.1972245773362196,1.6094379124341003,2.3978952727983707,1.0986122886681098,1.0986122886681098,1.6094379124341003,1.0986122886681098,1.3862943611198906,0.0,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,12,0,1,30,8,0.0,1.55814461804655,8,0.25,13,0.0,0,0.6931471805599453,0.0,0.0,0.6931471805599453,0,0.0,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0
1963,38620.0,0,0,56,4.727387818712341,2.8903717578961645,3.8066624897703196,3.5553480614894135,3.1354942159291497,4.499809670330265,0.6931471805599453,1.0986122886681098,1.791759469228055,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,13,0,2,318,11,0.0,3.398162477967001,5,0.09090909090909091,14,0.0,0,0.6931471805599453,0.0,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1
1970,40548.0,0,1,31,4.709530201312334,0.0,1.791759469228055,1.0986122886681098,0.0,1.3862943611198906,1.0986122886681098,1.0986122886681098,0.6931471805599453,4,5,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,56,14,1,3,120,9,0.6931471805599453,2.662587827025453,7,0.2222222222222222,14,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0.6931471805599453,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1952,46610.0,0,2,8,4.574710978503383,2.5649493574615367,4.574710978503383,3.5263605246161616,3.1354942159291497,3.784189633918261,1.9459101490553132,1.6094379124341003,0.6931471805599453,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,74,14,2,3,302,17,0.6931471805599453,2.9319777587286286,10,0.35294117647058826,23,0.0,0,0.0,0.6931471805599453,0.0,0.6931471805599453,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1946,68657.0,0,0,4,6.180016653652572,3.5553480614894135,6.156978985585555,4.787491742782046,4.23410650459726,3.1354942159291497,0.6931471805599453,1.3862943611198906,1.791759469228055,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,13,0,2,1196,18,0.0,4.211304213723279,10,0.05555555555555555,25,0.0,0,0.6931471805599453,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
1951,49389.0,1,1,55,3.713572066704308,0.0,2.995732273553991,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.6931471805599453,1.0986122886681098,0.0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,13,2,3,65,6,0.0,2.4709204078132605,9,0.16666666666666666,13,0.0,0,0.6931471805599453,0.0,0.0,0.0,0,0.6931471805599453,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1
