Feature,Mean,Median,Std,Minimum,Maximum
Customer_Age,57.19419642857143,56.0,11.984069456885829,30.0,133.0
Income,52237.97544642857,51381.5,25037.9558906219,1730.0,666666.0
Total_Spending,605.7982142857143,396.0,602.2492880109676,5.0,2525.0
Recency,49.109375,49.0,28.962452808378206,0.0,99.0
Customer_Tenure,4557.582142857143,4559.5,202.12251234854045,4204.0,4903.0
Family_Size,2.9504464285714285,3.0,0.7518028216317171,2.0,5.0
Total_Children,0.9504464285714286,1.0,0.7518028216317173,0.0,3.0
Purchase_Frequency,12.537053571428572,12.0,7.205740743783677,0.0,32.0
Accepted_Campaigns,0.446875,0.0,0.8905433715716996,0.0,5.0
NumWebPurchases,4.084821428571429,4.0,2.778714147388102,0.0,27.0
NumStorePurchases,5.790178571428571,5.0,3.2509581456744323,0.0,13.0
NumCatalogPurchases,2.6620535714285714,2.0,2.9231006555397463,0.0,28.0
