Customer_Age,Income,Total_Spending,Recency,Customer_Tenure,Family_Size,Total_Children,Purchase_Frequency,Accepted_Campaigns,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,Cluster
69,58138.0,1617,58,4867,2,0,22,1,8,4,10,1
72,46344.0,27,38,4317,4,2,4,0,1,2,1,0
61,71613.0,776,26,4516,2,0,20,0,8,10,2,1
42,26646.0,53,26,4343,3,1,6,0,2,4,0,0
45,58293.0,422,94,4365,3,1,14,0,5,6,3,0
59,62513.0,716,16,4497,3,1,20,0,6,10,4,1
55,55635.0,590,34,4797,3,1,17,0,7,7,3,1
41,33454.0,169,32,4621,3,1,8,0,4,4,0,0
52,30351.0,46,19,4592,3,1,5,1,3,2,0,0
76,5648.0,49,68,4312,4,2,1,1,1,0,0,1
43,51381.5,19,11,4430,3,1,3,0,1,2,0,0
50,7500.0,61,59,4797,2,0,5,0,2,3,0,0
67,63033.0,1102,82,4430,2,0,15,0,3,8,4,1
74,59354.0,310,53,4430,4,2,12,0,6,5,1,0
39,17323.0,46,38,4831,2,0,4,0,1,3,0,0
80,82800.0,1315,23,4786,2,0,25,3,7,12,6,1
46,41850.0,96,51,4756,4,2,6,0,3,3,0,0
80,37760.0,317,20,4871,2,0,11,0,4,6,1,0
77,76995.0,1782,91,4662,3,1,24,1,11,9,4,1
41,33812.0,133,86,4807,3,1,6,0,2,3,1,0
44,37040.0,316,41,4894,2,0,11,0,4,5,2,0
47,2447.0,1730,42,4743,3,1,28,0,0,0,28,1
77,58607.0,972,63,4757,3,1,14,1,2,9,3,1
72,65324.0,544,0,4373,3,1,17,0,6,9,2,1
75,40689.0,444,69,4672,3,1,13,0,7,5,1,1
57,18589.0,75,89,4747,2,0,6,0,2,3,1,0
50,53359.0,257,4,4602,4,2,10,0,5,4,1,0
40,51381.5,637,19,4698,3,1,27,0,27,0,0,1
37,38360.0,131,26,4598,3,1,7,0,2,4,1,0
61,84618.0,1672,96,4423,2,0,25,1,6,10,9,1
37,10979.0,30,34,4242,2,0,6,0,3,3,0,0
63,38620.0,318,56,4618,2,0,10,0,2,3,5,1
56,40548.0,120,31,4831,3,1,7,1,2,4,1,0
74,46610.0,302,8,4812,4,2,11,1,4,6,1,0
80,68657.0,1196,4,4698,2,0,17,0,3,9,5,1
75,49389.0,65,55,4508,4,2,5,0,2,3,0,0
56,67353.0,913,37,4384,3,1,23,0,5,12,6,1
50,23718.0,81,76,4504,3,1,6,0,3,2,1,0
53,42429.0,67,99,4342,3,1,5,0,1,3,1,0
83,48948.0,902,53,4717,2,0,22,2,7,5,10,1
46,80011.0,1395,3,4630,3,1,19,0,8,5,6,1
41,20559.0,53,88,4678,3,1,5,0,2,3,0,0
69,21994.0,22,4,4756,3,1,3,0,0,3,0,0
67,51381.5,186,80,4440,2,0,8,0,1,4,3,1
51,7500.0,31,19,4474,3,1,5,0,2,3,0,0
50,79941.0,984,72,4205,2,0,15,0,2,9,4,1
30,7500.0,122,24,4801,2,0,7,1,3,3,1,0
58,41728.0,55,92,4605,3,1,4,0,2,2,0,0
75,51381.5,124,96,4383,5,3,7,0,2,4,1,0
72,72550.0,1319,39,4802,4,2,19,0,5,12,2,1
69,65486.0,507,29,4252,3,1,16,0,4,10,2,1
62,79143.0,1693,2,4891,2,0,28,0,6,13,9,1
49,35790.0,72,54,4747,3,1,5,0,2,3,0,0
49,82582.0,1617,54,4226,2,0,20,3,4,7,9,1
48,66373.0,606,57,4586,4,2,16,0,4,10,2,1
71,82384.0,1957,55,4791,2,0,26,2,3,13,10,1
60,70287.0,1093,30,4657,2,0,20,1,5,10,5,1
38,27938.0,29,31,4266,3,1,5,0,1,4,0,0
44,51381.5,46,57,4581,3,1,5,0,2,3,0,0
58,55954.0,518,63,4322,3,1,16,0,8,6,2,1
44,75777.0,1438,12,4564,2,0,20,3,3,11,6,1
51,66653.0,612,18,4864,4,2,18,0,4,12,2,1
