Feature,Original Mean,Original Std,Standard Mean,Standard Std,MinMax Min,MinMax Max
Customer_Age,57.19419642857143,11.984069456885829,-1.6811948658609513e-16,1.000223289050455,0.0,0.9999999999999999
Income,52237.97544642857,25037.9558906219,-4.3615904538845435e-17,1.000223289050455,0.0,1.0
Total_Spending,605.7982142857143,602.2492880109676,3.6478756523398e-17,1.000223289050455,0.0,1.0
Recency,49.109375,28.962452808378206,-3.1720657846433043e-18,1.000223289050455,0.0,1.0
Customer_Tenure,4557.582142857143,202.12251234854045,1.4194994386278788e-15,1.000223289050455,0.0,1.0
Family_Size,2.9504464285714285,0.7518028216317171,1.395708945243054e-16,1.000223289050455,0.0,0.9999999999999999
Total_Children,0.9504464285714286,0.7518028216317173,4.123685520036296e-17,1.000223289050455,0.0,1.0
Purchase_Frequency,12.537053571428572,7.205740743783677,-1.1181531890867648e-16,1.000223289050455,0.0,1.0
Accepted_Campaigns,0.446875,0.8905433715716996,9.516197353929913e-18,1.000223289050455,0.0,1.0
NumWebPurchases,4.084821428571429,2.778714147388102,-5.709718412357947e-17,1.000223289050455,0.0,1.0
NumStorePurchases,5.790178571428571,3.2509581456744323,7.612957883143931e-17,1.0002232890504552,0.0,1.0
NumCatalogPurchases,2.6620535714285714,2.9231006555397463,9.516197353929913e-18,1.000223289050455,0.0,1.0
