,count,mean,std,min,25%,50%,75%,max
Customer_Age,2240.0,57.19419642857143,11.984069456885829,30.0,49.0,56.0,67.0,133.0
Income,2240.0,52237.97544642857,25037.9558906219,1730.0,35538.75,51381.5,68289.75,666666.0
Total_Spending,2240.0,605.7982142857143,602.2492880109676,5.0,68.75,396.0,1045.5,2525.0
Recency,2240.0,49.109375,28.962452808378206,0.0,24.0,49.0,74.0,99.0
Customer_Tenure,2240.0,4557.582142857143,202.12251234854045,4204.0,4384.75,4559.5,4733.0,4903.0
Family_Size,2240.0,2.9504464285714285,0.7518028216317171,2.0,2.0,3.0,3.0,5.0
Total_Children,2240.0,0.9504464285714286,0.7518028216317173,0.0,0.0,1.0,1.0,3.0
Purchase_Frequency,2240.0,12.537053571428572,7.205740743783677,0.0,6.0,12.0,18.0,32.0
Accepted_Campaigns,2240.0,0.446875,0.8905433715716996,0.0,0.0,0.0,1.0,5.0
NumWebPurchases,2240.0,4.084821428571429,2.778714147388102,0.0,2.0,4.0,6.0,27.0
NumStorePurchases,2240.0,5.790178571428571,3.2509581456744323,0.0,3.0,5.0,8.0,13.0
NumCatalogPurchases,2240.0,2.6620535714285714,2.9231006555397463,0.0,0.0,2.0,4.0,28.0
